sample	repo	issue	code	verdict	reason
first-version-held-out	apache/dubbo	11388	GONE	false	handed-to-someone-else
first-version-held-out	kubernetes/minikube	23264	GONE	false	declined-or-moot
first-version-held-out	elastic/elasticsearch	89980	GONE	real	real
first-version-held-out	milvus-io/milvus	39157	GONE	false	followed-through
first-version-held-out	argoproj/argo-cd	25240	GONE	false	declined-or-moot
first-version-held-out	badges/shields	4947	GONE	false	waiting-on-project
first-version-held-out	brave/brave-browser	39597	GONE	real	real
first-version-held-out	apache/dubbo	10223	GONE	false	declined-or-moot
first-version-held-out	apache/dubbo	7181	GONE	real	real
first-version-held-out	juspay/hyperswitch	9226	GONE	false	followed-through
first-version-held-out	dotnet/runtime	34856	GONE	false	waiting-on-project
first-version-held-out	juspay/hyperswitch	9231	GONE	real	real
first-version-held-out	nexu-io/open-design	5172	GONE	false	declined-or-moot
first-version-held-out	juspay/hyperswitch	1492	GONE	real	real
first-version-held-out	elastic/elasticsearch	78699	GONE	real	real
first-version-held-out	LAION-AI/Open-Assistant	2340	GONE	real	real
first-version-held-out	elastic/elasticsearch	70676	GONE	false	handed-to-someone-else
first-version-held-out	juspay/hyperswitch	6053	GONE	real	real
first-version-held-out	vercel/next.js	86002	GONE	false	declined-or-moot
first-version-held-out	processing/p5.js	7995	GONE	false	declined-or-moot
first-version-held-out	microsoft/terminal	10897	GONE	real	real
first-version-held-out	swiftlang/swift	50745	GONE	false	other
first-version-held-out	jgm/pandoc	10974	GONE	false	withdrawn
first-version-held-out	juspay/hyperswitch	9376	GONE	real	real
first-version-held-out	argoproj/argo-cd	24118	GONE	real	real
first-version-held-out	nextcloud/server	49965	GONE	real	real
first-version-held-out	getsentry/sentry	82395	GONE	false	declined-or-moot
first-version-held-out	JuliaLang/julia	33480	GONE	real	real
first-version-held-out	processing/p5.js	4656	GONE	real	real
first-version-held-out	juspay/hyperswitch	6051	GONE	real	real
first-version-held-out	alibaba/Sentinel	743	GONE	real	real
first-version-held-out	jenkinsci/jenkins	26518	GONE	real	real
first-version-held-out	apache/dubbo	11777	GONE	real	real
first-version-held-out	nextcloud/server	26345	GONE	false	declined-or-moot
first-version-held-out	backstage/backstage	8219	GONE	real	real
first-version-held-out	mermaid-js/mermaid	7682	GONE	false	declined-or-moot
first-version-held-out	processing/p5.js	6364	GONE	real	real
first-version-held-out	nextcloud/server	47311	GONE	real	real
first-version-held-out	jgm/pandoc	7495	GONE	real	real
first-version-held-out	parcel-bundler/parcel	2003	GONE	false	declined-or-moot
first-version-held-out	pear-devs/pear-desktop	2762	GONE	real	real
first-version-held-out	mermaid-js/mermaid	866	GONE	false	not-a-claim
first-version-held-out	argoproj/argo-cd	22603	GONE	false	waiting-on-project
first-version-held-out	milvus-io/milvus	39027	GONE	real	real
first-version-held-out	parcel-bundler/parcel	1762	GONE	false	not-a-claim
first-version-held-out	gitui-org/gitui	2808	GONE	real	real
first-version-held-out	dotnet/runtime	26278	GONE	false	declined-or-moot
first-version-held-out	argoproj/argo-cd	28828	GONE	false	waiting-on-project
first-version-held-out	processing/p5.js	8274	GONE	false	declined-or-moot
first-version-held-out	zellij-org/zellij	605	GONE	real	real
first-version-held-out	swiftlang/swift	49240	GONE	false	followed-through
first-version-held-out	milvus-io/milvus	47971	GONE	false	followed-through
first-version-held-out	apache/incubator-seata	5133	GONE	real	real
first-version-held-out	mermaid-js/mermaid	1707	GONE	real	real
first-version-held-out	vercel/next.js	65009	GONE	real	real
first-version-held-out	apache/dubbo	11040	GONE	real	real
first-version-held-out	juspay/hyperswitch	994	GONE	real	real
first-version-held-out	processing/p5.js	8274	GONE	false	declined-or-moot
first-version-held-out	kubernetes/minikube	23545	GONE	real	real
first-version-held-out	keras-team/keras	21800	GONE	false	handed-to-someone-else
first-version-held-out	swiftlang/swift	52214	GONE	real	real
first-version-held-out	swiftlang/swift	64903	GONE	false	handed-to-someone-else
first-version-held-out	juspay/hyperswitch	6058	GONE	real	real
first-version-held-out	dapr/dapr	6721	GONE	false	other
first-version-held-out	kestra-io/kestra	17332	GONE	false	followed-through
first-version-held-out	apache/incubator-seata	5000	GONE	real	real
first-version-held-out	elastic/elasticsearch	136873	GONE	real	real
first-version-held-out	swiftlang/swift	88176	GONE	real	real
first-version-held-out	badges/shields	2904	GONE	false	not-a-claim
first-version-held-out	openssl/openssl	7904	GONE	real	real
first-version-held-out	cube-js/cube	7551	GONE	real	real
first-version-held-out	tldr-pages/tldr	7923	GONE	real	real
first-version-held-out	argoproj/argo-cd	25885	GONE	false	followed-through
first-version-held-out	dapr/dapr	5529	GONE	real	real
first-version-held-out	LAION-AI/Open-Assistant	2400	GONE	false	waiting-on-project
first-version-held-out	milvus-io/milvus	25713	GONE	false	declined-or-moot
first-version-held-out	argoproj/argo-cd	21002	GONE	real	real
first-version-held-out	gitui-org/gitui	1504	GONE	real	real
first-version-held-out	iv-org/invidious	2716	GONE	real	real
first-version-held-out	juspay/hyperswitch	6233	GONE	real	real
first-version-held-out	JuliaLang/julia	34072	GONE	real	real
first-version-held-out	apache/dubbo	11151	GONE	real	real
first-version-held-out	apache/dubbo	11662	GONE	false	other
first-version-held-out	recharts/recharts	3678	GONE	false	withdrawn
first-version-held-out	brave/brave-browser	41429	GONE	real	real
first-version-held-out	tldr-pages/tldr	19101	GONE	false	withdrawn
first-version-held-out	nextcloud/server	61582	GONE	real	real
first-version-held-out	microsoft/TypeScript	61443	GONE	false	not-a-claim
first-version-held-out	JuliaLang/julia	40385	GONE	real	real
first-version-held-out	juspay/hyperswitch	9212	GONE	real	real
first-version-held-out	podman-container-tools/podman	22816	GONE	real	real
first-version-held-out	apache/incubator-seata	7209	GONE	real	real
first-version-held-out	dotnet/runtime	115397	GONE	real	real
first-version-held-out	juspay/hyperswitch	6230	GONE	real	real
first-version-held-out	dotnet/runtime	43346	GONE	real	real
first-version-held-out	zellij-org/zellij	585	GONE	false	handed-to-someone-else
first-version-held-out	keploy/keploy	2039	GONE	false	declined-or-moot
first-version-held-out	argoproj/argo-cd	9918	GONE	real	real
first-version-held-out	kestra-io/kestra	15887	GONE	false	declined-or-moot
first-version-held-out	elastic/elasticsearch	147723	GONE	false	waiting-on-project
first-version-held-out	JuliaLang/julia	40014	GONE	false	waiting-on-project
first-version-held-out	elastic/elasticsearch	82675	GONE	false	handed-to-someone-else
first-version-held-out	podman-container-tools/podman	27949	GONE	false	not-a-claim
first-version-held-out	streamich/react-use	840	GONE	false	declined-or-moot
first-version-held-out	argoproj/argo-cd	28107	GONE	false	followed-through
first-version-held-out	milvus-io/milvus	31581	GONE	real	real
first-version-held-out	ueberdosis/tiptap	3991	GONE	real	real
first-version-held-out	juspay/hyperswitch	6039	GONE	real	real
first-version-held-out	zsh-users/zsh-syntax-highlighting	742	GONE	real	real
first-version-held-out	keploy/keploy	2541	GONE	real	real
first-version-held-out	JuliaLang/julia	59737	GONE	real	real
first-version-held-out	ueberdosis/tiptap	6935	GONE	real	real
first-version-held-out	parcel-bundler/parcel	4797	GONE	false	not-a-claim
first-version-held-out	kubernetes/minikube	9397	GONE	real	real
first-version-held-out	dotnet/runtime	47624	GONE	real	real
first-version-held-out	elastic/elasticsearch	29366	GONE	false	declined-or-moot
first-version-held-out	argoproj/argo-cd	15075	GONE	false	not-a-claim
first-version-held-out	microsoft/terminal	11247	GONE	real	real
first-version-held-out	backstage/backstage	34495	GONE	real	real
first-version-held-out	rizinorg/cutter	1034	GONE	real	real
first-version-held-out	nexu-io/open-design	4176	GONE	false	withdrawn
first-version-held-out	pingcap/tidb	14607	GONE	real	real
first-version-held-out	podman-container-tools/podman	28611	GONE	real	real
first-version-held-out	ray-project/ray	59485	GONE	false	declined-or-moot
first-version-held-out	alibaba/Sentinel	2866	GONE	false	handed-to-someone-else
first-version-held-out	microsoft/terminal	649	GONE	false	not-a-claim
first-version-held-out	milvus-io/milvus	49503	GONE	false	followed-through
first-version-held-out	jgm/pandoc	3430	GONE	false	waiting-on-project
first-version-held-out	podman-container-tools/podman	14684	GONE	real	real
first-version-held-out	kestra-io/kestra	18190	GONE	false	waiting-on-project
first-version-held-out	rizinorg/cutter	3628	GONE	false	declined-or-moot
first-version-held-out	processing/p5.js	8443	GONE	real	real
first-version-held-out	apache/incubator-seata	3502	GONE	real	real
first-version-held-out	JuliaLang/julia	60470	GONE	real	real
first-version-held-out	nuxt/nuxt	26591	GONE	false	waiting-on-project
first-version-held-out	juspay/hyperswitch	9193	GONE	real	real
first-version-held-out	apache/dubbo	11601	GONE	real	real
first-version-held-out	metabase/metabase	625	GONE	false	not-a-claim
first-version-held-out	pingcap/tidb	24012	GONE	real	real
first-version-held-out	ray-project/ray	45824	GONE	false	followed-through
first-version-held-out	bytedance/UI-TARS-desktop	393	UNANSWERED	real	real
first-version-held-out	dotnet/runtime	104700	UNANSWERED	real	real
first-version-held-out	getsentry/sentry	115743	UNANSWERED	real	real
first-version-held-out	podman-container-tools/podman	15838	UNANSWERED	real	real
first-version-held-out	ray-project/ray	55898	UNANSWERED	real	real
first-version-held-out	nextcloud/server	53970	UNANSWERED	real	real
first-version-held-out	radareorg/radare2	15599	UNANSWERED	real	real
first-version-held-out	ytdl-org/youtube-dl	31358	UNANSWERED	real	real
first-version-held-out	alibaba/Sentinel	1753	UNANSWERED	real	real
first-version-held-out	grafana/grafana	125374	UNANSWERED	real	real
first-version-held-out	microsoft/TypeScript	35253	UNANSWERED	real	real
first-version-held-out	dapr/dapr	7725	UNANSWERED	real	real
first-version-held-out	sequelize/sequelize	18260	UNANSWERED	real	real
first-version-held-out	jenkinsci/jenkins	17029	UNANSWERED	false	not-a-claim
first-version-held-out	metabase/metabase	16264	UNANSWERED	false	not-a-claim
first-version-held-out	pytorch/pytorch	191138	UNANSWERED	real	real
first-version-held-out	badges/shields	4656	UNANSWERED	real	real
first-version-held-out	meteor/meteor	14680	UNANSWERED	real	real
first-version-held-out	keploy/keploy	1902	UNANSWERED	real	real
first-version-held-out	brave/brave-browser	57340	UNANSWERED	real	real
first-version-held-out	processing/p5.js	7344	UNANSWERED	real	real
first-version-held-out	cube-js/cube	6373	UNANSWERED	real	real
first-version-held-out	juspay/hyperswitch	9222	UNANSWERED	real	real
first-version-held-out	pingcap/tidb	6116	UNANSWERED	real	real
first-version-held-out	keploy/keploy	2198	UNANSWERED	real	real
first-version-held-out	elastic/elasticsearch	146662	UNANSWERED	real	real
first-version-held-out	metabase/metabase	65913	UNANSWERED	real	real
first-version-held-out	keploy/keploy	2046	UNANSWERED	false	handed-to-someone-else
first-version-held-out	pingcap/tidb	61825	UNANSWERED	false	declined-or-moot
first-version-held-out	argoproj/argo-cd	19650	UNANSWERED	real	real
first-version-held-out	swiftlang/swift	78292	UNANSWERED	real	real
first-version-held-out	keploy/keploy	2258	UNANSWERED	real	real
first-version-held-out	processing/p5.js	8228	UNANSWERED	false	withdrawn
first-version-held-out	processing/p5.js	4743	UNANSWERED	real	real
first-version-held-out	bytedance/UI-TARS-desktop	86	UNANSWERED	real	real
first-version-held-out	apache/dubbo	15668	UNANSWERED	false	handed-to-someone-else
first-version-held-out	zen-browser/desktop	14587	UNANSWERED	real	real
first-version-held-out	ytdl-org/youtube-dl	6515	UNANSWERED	real	real
first-version-held-out	mermaid-js/mermaid	1930	UNANSWERED	real	real
first-version-held-out	vectordotdev/vector	768	UNANSWERED	real	real
first-version-held-out	apache/dubbo	13861	UNANSWERED	real	real
first-version-held-out	keras-team/keras	18668	UNANSWERED	real	real
first-version-held-out	juspay/hyperswitch	5904	UNANSWERED	real	real
first-version-held-out	pytorch/pytorch	158968	UNANSWERED	false	handed-to-someone-else
first-version-held-out	backstage/backstage	30542	UNANSWERED	real	real
first-version-held-out	grafana/grafana	123510	UNANSWERED	real	real
first-version-held-out	jenkinsci/jenkins	25425	UNANSWERED	real	real
first-version-held-out	rizinorg/cutter	3098	UNANSWERED	real	real
first-version-held-out	uutils/coreutils	9553	UNANSWERED	false	not-a-claim
first-version-held-out	getsentry/sentry	78254	UNANSWERED	false	declined-or-moot
first-version-held-out	vercel/next.js	54482	UNANSWERED	false	not-a-claim
first-version-held-out	argoproj/argo-cd	14464	UNANSWERED	real	real
first-version-held-out	grafana/grafana	119905	UNANSWERED	real	real
first-version-held-out	keploy/keploy	3067	UNANSWERED	real	real
first-version-held-out	keploy/keploy	1460	UNANSWERED	real	real
first-version-held-out	apache/dubbo	13859	UNANSWERED	false	handed-to-someone-else
first-version-held-out	uutils/coreutils	10421	UNANSWERED	real	real
first-version-held-out	grafana/grafana	130347	UNANSWERED	real	real
first-version-held-out	swiftlang/swift	87758	UNANSWERED	real	real
first-version-held-out	pytorch/pytorch	41839	UNANSWERED	real	real
first-version-held-out	pingcap/tidb	65046	UNANSWERED	real	real
first-version-held-out	pytorch/pytorch	634	UNANSWERED	false	handed-to-someone-else
first-version-held-out	juspay/hyperswitch	13180	UNANSWERED	real	real
first-version-held-out	jenkinsci/jenkins	25425	UNANSWERED	real	real
first-version-held-out	apache/dubbo	6194	UNANSWERED	real	real
first-version-held-out	alibaba/Sentinel	3637	UNANSWERED	real	real
first-version-held-out	juspay/hyperswitch	6067	UNANSWERED	real	real
first-version-held-out	apache/dubbo	15567	UNANSWERED	real	real
first-version-held-out	modular/modular	5148	UNANSWERED	false	declined-or-moot
first-version-held-out	pytorch/pytorch	186496	UNANSWERED	false	withdrawn
first-version-held-out	zellij-org/zellij	4099	UNANSWERED	false	not-a-claim
first-version-held-out	mermaid-js/mermaid	7037	UNANSWERED	real	real
first-version-held-out	brave/brave-browser	41732	UNANSWERED	real	real
first-version-held-out	juspay/hyperswitch	6173	UNANSWERED	false	handed-to-someone-else
first-version-held-out	getsentry/sentry	45085	UNANSWERED	false	not-a-claim
first-version-held-out	processing/p5.js	8172	UNANSWERED	real	real
first-version-held-out	JuliaLang/julia	37047	UNANSWERED	real	real
first-version-held-out	metabase/metabase	2987	UNANSWERED	real	real
first-version-held-out	apache/dubbo	14475	UNANSWERED	real	real
first-version-held-out	uutils/coreutils	4833	UNANSWERED	real	real
first-version-held-out	keploy/keploy	2528	UNANSWERED	real	real
first-version-held-out	grafana/grafana	112313	UNANSWERED	real	real
first-version-held-out	dapr/dapr	7476	UNANSWERED	real	real
first-version-held-out	ray-project/ray	12325	UNANSWERED	real	real
first-version-held-out	vercel/next.js	15971	UNANSWERED	false	declined-or-moot
first-version-held-out	milvus-io/milvus	27468	UNANSWERED	false	handed-to-someone-else
first-version-held-out	swiftlang/swift	44416	UNANSWERED	real	real
first-version-held-out	vercel/next.js	66558	UNANSWERED	real	real
first-version-held-out	streamich/react-use	2501	UNANSWERED	false	handed-to-someone-else
final-unseen	whatwg/html	321	GONE	false	followed-through
final-unseen	apache/pulsar	23512	GONE	false	other
final-unseen	dicedb/dicedb	834	GONE	real	real
final-unseen	catboost/catboost	869	GONE	false	followed-through
final-unseen	mozilla-mobile/firefox-ios	31524	GONE	real	real
final-unseen	kedacore/keda	1281	GONE	real	real
final-unseen	quarkusio/quarkus	55514	GONE	real	real
final-unseen	zaproxy/zaproxy	129	GONE	real	real
final-unseen	mozilla-mobile/firefox-ios	29700	GONE	real	real
final-unseen	openzfs/zfs	10328	GONE	false	other
final-unseen	zaproxy/zaproxy	4812	GONE	real	real
final-unseen	mozilla-mobile/firefox-ios	31358	GONE	false	followed-through
final-unseen	AlaSQL/alasql	1978	GONE	real	real
final-unseen	whatwg/html	404	GONE	real	real
final-unseen	thanos-io/thanos	4606	GONE	real	real
final-unseen	numba/numba	10091	GONE	false	followed-through
final-unseen	apache/seatunnel	9556	GONE	real	real
final-unseen	beautifier/js-beautify	1835	GONE	real	real
final-unseen	PipedreamHQ/pipedream	19024	GONE	false	followed-through
final-unseen	AlaSQL/alasql	1846	GONE	real	real
final-unseen	apache/pulsar	18963	GONE	false	followed-through
final-unseen	zitadel/zitadel	11020	GONE	false	declined-or-moot
final-unseen	stride3d/stride	339	GONE	real	real
final-unseen	lightningnetwork/lnd	2992	GONE	false	withdrawn
final-unseen	dicedb/dicedb	965	GONE	real	real
final-unseen	dicedb/dicedb	1255	GONE	false	waiting-on-project
final-unseen	aden-hive/hive	6354	GONE	real	real
final-unseen	element-hq/element-web	24991	GONE	false	waiting-on-project
final-unseen	databendlabs/databend	16222	GONE	real	real
final-unseen	amplication/amplication	8499	GONE	real	real
final-unseen	catboost/catboost	2936	GONE	false	followed-through
final-unseen	apache/pulsar	13347	GONE	false	declined-or-moot
final-unseen	stride3d/stride	3083	GONE	real	real
final-unseen	dicedb/dicedb	549	GONE	real	real
final-unseen	dicedb/dicedb	1383	GONE	real	real
final-unseen	apache/pulsar	9267	GONE	real	real
final-unseen	kedacore/keda	754	GONE	real	real
final-unseen	carbon-design-system/carbon	22073	GONE	false	waiting-on-project
final-unseen	AlaSQL/alasql	1055	GONE	real	real
final-unseen	mozilla-mobile/firefox-ios	31186	GONE	false	followed-through
final-unseen	MudBlazor/MudBlazor	10463	GONE	false	waiting-on-project
final-unseen	apache/seatunnel	11072	GONE	real	real
final-unseen	musescore/MuseScore	30649	GONE	real	real
final-unseen	thu-ml/tianshou	886	GONE	false	declined-or-moot
final-unseen	apache/pulsar	20178	GONE	real	real
final-unseen	amplication/amplication	7063	GONE	real	real
final-unseen	openvinotoolkit/openvino	28395	GONE	real	real
final-unseen	amplication/amplication	7086	GONE	real	real
final-unseen	feast-dev/feast	5920	GONE	false	not-a-claim
final-unseen	apache/pulsar	11945	GONE	false	waiting-on-project
final-unseen	kedacore/keda	5622	GONE	real	real
final-unseen	dicedb/dicedb	554	GONE	real	real
final-unseen	AlaSQL/alasql	1095	GONE	real	real
final-unseen	mozilla-mobile/firefox-ios	24386	GONE	real	real
final-unseen	whatwg/html	667	GONE	false	followed-through
final-unseen	woocommerce/woocommerce	64107	GONE	real	real
final-unseen	dicedb/dicedb	732	GONE	false	waiting-on-project
final-unseen	apache/pulsar	7564	GONE	real	real
final-unseen	LMMS/lmms	4672	GONE	real	real
final-unseen	lightningnetwork/lnd	9353	GONE	real	real
final-unseen	quarkusio/quarkus	40121	GONE	false	declined-or-moot
final-unseen	apache/seatunnel	9570	GONE	false	followed-through
final-unseen	feast-dev/feast	5831	GONE	real	real
final-unseen	thu-ml/tianshou	1090	GONE	real	real
final-unseen	playframework/playframework	8225	GONE	real	real
final-unseen	zitadel/zitadel	8278	GONE	real	real
final-unseen	PipedreamHQ/pipedream	20703	GONE	false	waiting-on-project
final-unseen	apache/pulsar	13160	GONE	real	real
final-unseen	element-hq/element-web	19514	GONE	real	real
final-unseen	stride3d/stride	1851	GONE	real	real
final-unseen	dicedb/dicedb	934	GONE	false	followed-through
final-unseen	musescore/MuseScore	22082	GONE	real	real
final-unseen	amplication/amplication	4313	GONE	real	real
final-unseen	openvinotoolkit/openvino	22001	GONE	false	waiting-on-project
final-unseen	quarkusio/quarkus	49845	GONE	real	real
final-unseen	aden-hive/hive	5644	GONE	real	real
final-unseen	brndnmtthws/conky	1954	GONE	real	real
final-unseen	cupy/cupy	9569	GONE	false	followed-through
final-unseen	musescore/MuseScore	25559	GONE	real	real
final-unseen	dicedb/dicedb	1339	GONE	false	followed-through
final-unseen	amplication/amplication	7058	GONE	real	real
final-unseen	EleutherAI/lm-evaluation-harness	2961	GONE	real	real
final-unseen	AlaSQL/alasql	1416	GONE	real	real
final-unseen	musescore/MuseScore	19955	GONE	real	real
final-unseen	risingwavelabs/risingwave	24119	GONE	false	declined-or-moot
final-unseen	AlaSQL/alasql	1356	GONE	real	real
final-unseen	MudBlazor/MudBlazor	10173	GONE	false	declined-or-moot
final-unseen	stride3d/stride	1883	GONE	real	real
final-unseen	databendlabs/databend	8625	GONE	real	real
final-unseen	risingwavelabs/risingwave	20428	GONE	false	followed-through
final-unseen	dicedb/dicedb	758	GONE	false	followed-through
final-unseen	terser/terser	1192	GONE	real	real
final-unseen	MudBlazor/MudBlazor	10211	GONE	real	real
final-unseen	dicedb/dicedb	242	GONE	real	real
final-unseen	amplication/amplication	3600	GONE	real	real
final-unseen	apache/pulsar	21172	GONE	real	real
final-unseen	voxel51/fiftyone	5482	GONE	real	real
final-unseen	dicedb/dicedb	380	GONE	real	real
final-unseen	PrivateBin/PrivateBin	1820	GONE	false	waiting-on-project
final-unseen	AlaSQL/alasql	1013	GONE	false	followed-through
final-unseen	PipedreamHQ/pipedream	20806	GONE	false	waiting-on-project
final-unseen	PipedreamHQ/pipedream	7311	GONE	real	real
final-unseen	zaproxy/zaproxy	4112	GONE	real	real
final-unseen	apache/pulsar	16294	GONE	real	real
final-unseen	catboost/catboost	2414	GONE	real	real
final-unseen	dicedb/dicedb	966	GONE	real	real
final-unseen	thanos-io/thanos	4326	GONE	real	real
final-unseen	MudBlazor/MudBlazor	8175	GONE	false	declined-or-moot
final-unseen	quarkusio/quarkus	44074	GONE	real	real
final-unseen	bpftrace/bpftrace	2959	GONE	real	real
final-unseen	zaproxy/zaproxy	1689	GONE	false	waiting-on-project
final-unseen	zitadel/zitadel	1677	GONE	real	real
final-unseen	apache/pulsar	22125	GONE	real	real
final-unseen	devicons/devicon	1422	GONE	real	real
final-unseen	zitadel/zitadel	10101	GONE	false	waiting-on-project
final-unseen	AlaSQL/alasql	1470	GONE	real	real
final-unseen	apache/pulsar	15039	GONE	false	not-a-claim
final-unseen	amplication/amplication	7134	GONE	real	real
final-unseen	wxt-dev/wxt	2146	GONE	real	real
final-unseen	AlaSQL/alasql	1545	GONE	real	real
final-unseen	AlaSQL/alasql	1807	GONE	real	real
final-unseen	feast-dev/feast	6062	GONE	real	real
final-unseen	dicedb/dicedb	562	GONE	real	real
final-unseen	lightningnetwork/lnd	7328	GONE	real	real
final-unseen	dicedb/dicedb	1009	GONE	real	real
final-unseen	dicedb/dicedb	556	GONE	real	real
final-unseen	musescore/MuseScore	19187	GONE	real	real
final-unseen	apache/pulsar	17646	GONE	real	real
final-unseen	beautifier/js-beautify	2041	GONE	real	real
final-unseen	apache/pulsar	12959	GONE	real	real
final-unseen	thu-ml/tianshou	197	GONE	real	real
final-unseen	amplication/amplication	2388	GONE	real	real
final-unseen	amplication/amplication	2967	GONE	real	real
final-unseen	AlaSQL/alasql	537	GONE	real	real
final-unseen	dicedb/dicedb	1057	GONE	false	followed-through
final-unseen	feast-dev/feast	5429	GONE	false	followed-through
final-unseen	dicedb/dicedb	1253	GONE	real	real
final-unseen	thu-ml/tianshou	977	GONE	real	real
final-unseen	risingwavelabs/risingwave	12476	GONE	real	real
final-unseen	apache/seatunnel	9768	GONE	false	followed-through
final-unseen	dicedb/dicedb	1198	GONE	real	real
final-unseen	LMMS/lmms	6316	GONE	real	real
final-unseen	apache/pulsar	17805	GONE	real	real
final-unseen	amplication/amplication	6135	GONE	false	waiting-on-project
final-unseen	mapbox/mapbox-gl-js	9398	GONE	real	real
final-unseen	dicedb/dicedb	1393	GONE	false	followed-through
final-unseen	apache/seatunnel	9487	GONE	false	waiting-on-project
final-unseen	musescore/MuseScore	13913	GONE	real	real
final-unseen	mozilla-mobile/firefox-ios	24270	GONE	real	real
final-unseen	woocommerce/woocommerce	63049	GONE	false	followed-through
final-unseen	SFTtech/openage	657	QUIET	false	declined-or-moot
final-unseen	thanos-io/thanos	6070	QUIET	real	real
final-unseen	AlaSQL/alasql	1121	QUIET	real	real
final-unseen	whatwg/html	8364	QUIET	real	real
final-unseen	zaproxy/zaproxy	6119	QUIET	false	other
final-unseen	quarkusio/quarkus	39547	QUIET	false	followed-through
final-unseen	whatwg/html	5266	QUIET	real	real
final-unseen	go-git/go-git	74	QUIET	false	declined-or-moot
final-unseen	mapbox/mapbox-gl-js	7946	QUIET	false	declined-or-moot
final-unseen	kedacore/keda	1152	QUIET	real	real
final-unseen	whatwg/html	3839	QUIET	real	real
final-unseen	mumble-voip/mumble	4049	QUIET	real	real
final-unseen	StarTrail-org/LEANN	61	QUIET	false	followed-through
final-unseen	thunderbird/thunderbird-android	4584	QUIET	real	real
final-unseen	element-hq/element-web	32174	QUIET	real	real
final-unseen	apache/pulsar	13532	QUIET	real	real
final-unseen	qutebrowser/qutebrowser	7486	QUIET	real	real
final-unseen	playframework/playframework	9844	QUIET	real	real
final-unseen	whatwg/html	11626	QUIET	false	waiting-on-project
final-unseen	pyro-ppl/pyro	1164	QUIET	false	handed-to-someone-else
final-unseen	LMMS/lmms	475	QUIET	false	withdrawn
final-unseen	devicons/devicon	2103	QUIET	false	not-a-claim
final-unseen	diasurgical/DevilutionX	1997	QUIET	real	real
final-unseen	numba/numba	6972	QUIET	real	real
final-unseen	qutebrowser/qutebrowser	1603	QUIET	real	real
final-unseen	LMMS/lmms	3754	QUIET	real	real
final-unseen	beautifier/js-beautify	2098	QUIET	real	real
final-unseen	beautifier/js-beautify	545	QUIET	false	followed-through
final-unseen	quarkusio/quarkus	47499	QUIET	real	real
final-unseen	AlaSQL/alasql	409	QUIET	real	real
